slot_id,piso,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,2,False,False,,,
2,0,1,False,False,,None,0
3,0,2,False,True,ABC123,2025-11-08 13:52:29,2
4,0,2,False,False,,,0
5,0,3,False,False,,,0
6,1,1,False,True,ACB123,2025-11-08 14:57:16,1
7,1,1,False,False,,,0
8,1,1,False,False,,,0
9,1,3,False,False,,,0
10,1,3,False,False,,,0
11,2,1,False,False,,,0
12,2,1,False,False,,,0
13,2,1,False,False,,,0
14,2,1,False,False,,,0
15,2,1,False,False,,,0
16,3,2,False,False,,,
17,3,1,False,False,,,0
18,3,1,False,False,,,0
19,3,3,False,False,,,0
20,3,3,False,False,,,0
21,4,2,False,False,,,
22,4,1,False,False,,,0
23,4,1,False,False,,,0
24,4,3,False,False,,,0
25,4,3,False,False,,,0
26,5,2,False,False,,,0
27,5,1,False,False,,,0
28,5,1,False,False,,,0
29,5,3,False,False,,,0
30,5,3,False,False,,,0
