slot_id,piso,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,,False,False,,,
2,0,,False,False,,,
3,0,,False,False,,,
4,0,,False,False,,,
5,0,,False,False,,,
6,0,,False,False,,,
7,0,,False,False,,,
8,1,,False,False,,,
9,1,,False,False,,,
10,1,,False,False,,,
11,1,,False,False,,,
12,1,,False,False,,,
13,1,,False,False,,,
14,1,,False,False,,,
15,2,,False,False,,,
16,2,,False,False,,,
17,2,,False,False,,,
18,2,,False,False,,,
19,2,,False,False,,,
20,2,,False,False,,,
21,2,,False,False,,,
22,3,,False,False,,,
23,3,,False,False,,,
24,3,,False,False,,,
25,3,,False,False,,,
26,3,,False,False,,,
27,3,,False,False,,,
28,3,,False,False,,,
29,4,,False,False,,,
30,4,,False,False,,,
31,4,,False,False,,,
32,4,,False,False,,,
33,4,,False,False,,,
34,4,,False,False,,,
35,4,,False,False,,,
36,5,,False,False,,,
37,5,,False,False,,,
38,5,,False,False,,,
39,5,,False,False,,,
40,5,,False,False,,,
41,5,,False,False,,,
42,5,,False,False,,,
43,6,,False,False,,,
44,6,,False,False,,,
45,6,,False,False,,,
46,6,,False,False,,,
47,6,,False,False,,,
48,6,,False,False,,,
49,6,,False,False,,,
50,7,,False,False,,,
51,7,,False,False,,,
52,7,,False,False,,,
53,7,,False,False,,,
54,7,,False,False,,,
55,7,,False,False,,,
56,7,,False,False,,,
57,8,,False,False,,,
58,8,,False,False,,,
59,8,,False,False,,,
60,8,,False,False,,,
61,8,,False,False,,,
62,8,,False,False,,,
63,8,,False,False,,,
64,9,,False,False,,,
65,9,,False,False,,,
66,9,,False,False,,,
67,9,,False,False,,,
68,9,,False,False,,,
69,9,,False,False,,,
70,9,,False,False,,,
