slot_id,piso,posicion,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,0,2,False,True,FAB123,2025-10-26 15:38,
2,0,1,2,False,True,AAA111,2025-10-26 15:41,
3,0,2,2,False,True,AAA111,2025-10-26 15:46,
4,0,3,2,False,True,AAA111,2025-10-26 16:06:18,
5,0,4,2,False,True,AAA111,2025-10-26 16:13:23,
6,0,5,2,False,True,AAA222,2025-10-26 16:13:30,
7,0,6,2,False,True,AAA333,2025-10-26 16:13:38,
8,0,7,2,False,True,AAA111,2025-10-26 16:14:41,
9,0,8,2,False,False,,,
10,0,9,2,False,False,,,
11,0,10,2,False,False,,,
12,0,11,2,False,False,,,
13,1,0,2,False,False,,,
14,1,1,2,False,False,,,
15,1,2,2,False,False,,,
16,1,3,2,False,False,,,
17,1,4,2,False,False,,,
18,1,5,2,False,False,,,
19,1,6,2,False,False,,,
20,1,7,2,False,False,,,
21,1,8,1,False,False,,,
22,1,9,1,False,False,,,
23,1,10,1,False,False,,,
24,1,11,1,False,False,,,
25,2,0,1,False,False,,,
26,2,1,1,False,False,,,
27,2,2,1,False,False,,,
28,2,3,1,False,False,,,
29,2,4,1,False,False,,,
30,2,5,1,False,False,,,
31,2,6,3,False,False,,,
32,2,7,3,False,False,,,
33,2,8,3,False,False,,,
34,2,9,3,False,False,,,
35,2,10,3,False,False,,,
36,2,11,3,False,False,,,
37,3,0,3,False,False,,,
38,3,1,3,False,False,,,
39,3,2,3,False,False,,,
40,3,3,3,False,False,,,
41,3,4,,False,False,,,
42,3,5,,False,False,,,
43,3,6,,False,False,,,
44,3,7,,False,False,,,
45,3,8,,False,False,,,
46,3,9,,False,False,,,
47,3,10,,False,False,,,
48,3,11,,False,False,,,
49,4,0,,False,False,,,
50,4,1,,False,False,,,
51,4,2,,False,False,,,
52,4,3,,False,False,,,
53,4,4,,False,False,,,
54,4,5,,False,False,,,
55,4,6,,False,False,,,
56,4,7,,False,False,,,
57,4,8,,False,False,,,
58,4,9,,False,False,,,
59,4,10,,False,False,,,
60,4,11,,False,False,,,
61,5,0,,False,False,,,
62,5,1,,False,False,,,
63,5,2,,False,False,,,
64,5,3,,False,False,,,
65,5,4,,False,False,,,
66,5,5,,False,False,,,
67,5,6,,False,False,,,
68,5,7,,False,False,,,
69,5,8,,False,False,,,
70,5,9,,False,False,,,
71,5,10,,False,False,,,
72,5,11,,False,False,,,
73,6,0,,False,False,,,
74,6,1,,False,False,,,
75,6,2,,False,False,,,
76,6,3,,False,False,,,
77,6,4,,False,False,,,
78,6,5,,False,False,,,
79,6,6,,False,False,,,
80,6,7,,False,False,,,
81,6,8,,False,False,,,
82,6,9,,False,False,,,
83,6,10,,False,False,,,
84,6,11,,False,False,,,
85,7,0,,False,False,,,
86,7,1,,False,False,,,
87,7,2,,False,False,,,
88,7,3,,False,False,,,
89,7,4,,False,False,,,
90,7,5,,False,False,,,
91,7,6,,False,False,,,
92,7,7,,False,False,,,
93,7,8,,False,False,,,
94,7,9,,False,False,,,
95,7,10,,False,False,,,
96,7,11,,False,False,,,
97,8,0,,False,False,,,
98,8,1,,False,False,,,
99,8,2,,False,False,,,
100,8,3,,False,False,,,
101,8,4,,False,False,,,
102,8,5,,False,False,,,
103,8,6,,False,False,,,
104,8,7,,False,False,,,
105,8,8,,False,False,,,
106,8,9,,False,False,,,
107,8,10,,False,False,,,
108,8,11,,False,False,,,
109,9,0,,False,False,,,
110,9,1,,False,False,,,
111,9,2,,False,False,,,
112,9,3,,False,False,,,
113,9,4,,False,False,,,
114,9,5,,False,False,,,
115,9,6,,False,False,,,
116,9,7,,False,False,,,
117,9,8,,False,False,,,
118,9,9,,False,False,,,
119,9,10,,False,False,,,
120,9,11,,False,False,,,
