slot_id,piso,posicion,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,0,2,False,True,FAB123,2025-10-29 18:59:56,
2,0,1,2,False,False,,,
3,0,2,2,False,False,,,
4,0,3,2,False,False,,,
5,0,4,2,False,False,,,
6,0,5,2,False,False,,,
7,0,6,2,False,False,,,
8,1,0,2,False,False,,,
9,1,1,2,False,False,,,
10,1,2,2,False,False,,,
11,1,3,2,False,False,,,
12,1,4,2,False,False,,,
13,1,5,2,False,False,,,
14,1,6,2,False,False,,,
15,2,0,2,False,False,,,
16,2,1,1,False,True,ABC123,2025-10-29 19:00:30,
17,2,2,1,False,False,,,
18,2,3,1,False,False,,,
19,2,4,1,False,False,,,
20,2,5,1,False,False,,,
21,2,6,1,False,False,,,
22,3,0,1,False,False,,,
23,3,1,1,False,False,,,
24,3,2,1,False,False,,,
25,3,3,1,False,False,,,
26,3,4,1,False,False,,,
27,3,5,1,False,False,,,
28,3,6,1,False,False,,,
29,4,0,1,False,False,,,
30,4,1,1,False,False,,,
31,4,2,3,False,False,,,
32,4,3,3,False,False,,,
33,4,4,3,False,False,,,
34,4,5,3,False,False,,,
35,4,6,3,False,False,,,
