slot_id,piso,posicion,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,0,,False,False,,,
2,0,1,,False,False,,,
3,0,2,,False,False,,,
4,0,3,,False,False,,,
5,0,4,,False,False,,,
6,0,5,,False,False,,,
7,0,6,,False,False,,,
8,0,7,,False,False,,,
9,0,8,,False,False,,,
10,0,9,,False,False,,,
11,1,0,,False,False,,,
12,1,1,,False,False,,,
13,1,2,,False,False,,,
14,1,3,,False,False,,,
15,1,4,,False,False,,,
16,1,5,,False,False,,,
17,1,6,,False,False,,,
18,1,7,,False,False,,,
19,1,8,,False,False,,,
20,1,9,,False,False,,,
21,2,0,,False,False,,,
22,2,1,,False,False,,,
23,2,2,,False,False,,,
24,2,3,,False,False,,,
25,2,4,,False,False,,,
26,2,5,,False,False,,,
27,2,6,,False,False,,,
28,2,7,,False,False,,,
29,2,8,,False,False,,,
30,2,9,,False,False,,,
31,3,0,,False,False,,,
32,3,1,,False,False,,,
33,3,2,,False,False,,,
34,3,3,,False,False,,,
35,3,4,,False,False,,,
36,3,5,,False,False,,,
37,3,6,,False,False,,,
38,3,7,,False,False,,,
39,3,8,,False,False,,,
40,3,9,,False,False,,,
41,4,0,,False,False,,,
42,4,1,,False,False,,,
43,4,2,,False,False,,,
44,4,3,,False,False,,,
45,4,4,,False,False,,,
46,4,5,,False,False,,,
47,4,6,,False,False,,,
48,4,7,,False,False,,,
49,4,8,,False,False,,,
50,4,9,,False,False,,,
